StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q34,Q11,Q9,Q10,Q12,Q28,Q13,Q15,Q19,Q18,Q16,Q20_1,Q17,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q31,Q21,Q22,Q23,Q24,Q25,Q26
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your Prolific ID?,What is the highest level of school you have completed or the highest degree you have received?,Are you employed?,What is your annual household income?,What is your political party identification?,Do you consider yourself religious? If so what religion?,Do you have computer science or programming experience?,"Artificial Intelligence (AI) refers to computer systems that performs tasks or make decisions that normally require human intelligence. AI can perform these tasks or make these decisions without explicit human instructions. 

How much have you heard or read about AI before?",How often do you use the Internet?,How often do you actually interact with AI?,Today AI has been used in the following applications:Translate over 100 different languagesPredict o,Please tell me the extent to which you agree or disagree with the following statements - AI will have a positive impact on  society in the next 10 years,"Overall, would you say the increased use of AI in daily life makes you feel...","What is the main reason you are more excited than concerned about the increased use of AI in daily life? Please rank these reasons by having the most important reason at the top to the least important reason at the bottom (1 = most important, 7 = least important). - Saves time and is more efficient","What is the main reason you are more excited than concerned about the increased use of AI in daily life? Please rank these reasons by having the most important reason at the top to the least important reason at the bottom (1 = most important, 7 = least important). - It is inevitable progress for the future","What is the main reason you are more excited than concerned about the increased use of AI in daily life? Please rank these reasons by having the most important reason at the top to the least important reason at the bottom (1 = most important, 7 = least important). - Handles mundane tasks","What is the main reason you are more excited than concerned about the increased use of AI in daily life? Please rank these reasons by having the most important reason at the top to the least important reason at the bottom (1 = most important, 7 = least important). - Helps with work/labor","What is the main reason you are more excited than concerned about the increased use of AI in daily life? Please rank these reasons by having the most important reason at the top to the least important reason at the bottom (1 = most important, 7 = least important). - Ai is interesting and exciting","What is the main reason you are more excited than concerned about the increased use of AI in daily life? Please rank these reasons by having the most important reason at the top to the least important reason at the bottom (1 = most important, 7 = least important). - Makes life and society better","What is the main reason you are more excited than concerned about the increased use of AI in daily life? Please rank these reasons by having the most important reason at the top to the least important reason at the bottom (1 = most important, 7 = least important). - Helps humans with difficult and dangerous tasks","What is the main reason you are more concerned than than excited about the increased use of AI in daily life? Please rank these reasons by having the most important reason at the top to the least important reason at the bottom (1 = most important, 7 = least enjoyment). - Surveillance, hacking, digital privacy concerns","What is the main reason you are more concerned than than excited about the increased use of AI in daily life? Please rank these reasons by having the most important reason at the top to the least important reason at the bottom (1 = most important, 7 = least enjoyment). - AI fails and makes mistakes","What is the main reason you are more concerned than than excited about the increased use of AI in daily life? Please rank these reasons by having the most important reason at the top to the least important reason at the bottom (1 = most important, 7 = least enjoyment). - Lack of human connection and qualities","What is the main reason you are more concerned than than excited about the increased use of AI in daily life? Please rank these reasons by having the most important reason at the top to the least important reason at the bottom (1 = most important, 7 = least enjoyment). - People misusing AI/Don't trust AI or the people using it","What is the main reason you are more concerned than than excited about the increased use of AI in daily life? Please rank these reasons by having the most important reason at the top to the least important reason at the bottom (1 = most important, 7 = least enjoyment). - AI becomes too powerful, outsmarting people","What is the main reason you are more concerned than than excited about the increased use of AI in daily life? Please rank these reasons by having the most important reason at the top to the least important reason at the bottom (1 = most important, 7 = least enjoyment). - Loss of human jobs","Do you think it is possible or not possible for people to design AI computer programs that can consistently make fair decisions in complex situations (e.g., who gets a job interview or who gets arrested and how much time they ultimately serve for a crime?)","Thinking about customer service, which of the following uses artificial intelligence (AI)?","When playing music, which of the following uses artificial intelligence (AI)?","Thinking about online shopping such as Amazon, which of the following uses artificial intelligence (AI)?","Thinking about health products, which of the following uses artificial intelligence (AI)?","When using your phone, which of the following uses artificial intelligence (AI)?","When using email, which of the following uses artificial intelligence (AI)?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12""}","{""ImportId"":""QID28""}","{""ImportId"":""QID13""}","{""ImportId"":""QID15""}","{""ImportId"":""QID19""}","{""ImportId"":""QID18""}","{""ImportId"":""QID16""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID17""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID29_2""}","{""ImportId"":""QID29_3""}","{""ImportId"":""QID29_4""}","{""ImportId"":""QID29_5""}","{""ImportId"":""QID29_6""}","{""ImportId"":""QID29_7""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID30_3""}","{""ImportId"":""QID30_4""}","{""ImportId"":""QID30_5""}","{""ImportId"":""QID30_6""}","{""ImportId"":""QID31""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}"
2023-06-25 09:22:25,2023-06-25 09:26:36,Survey Preview,,100,250,True,2023-06-25 09:26:37,R_2QZ0XMZDLSU4Ijh,,,,,34.0264,-117.936,preview,EN,,Graduated from a four-year college,Employed (full or part-time),Prefer not to say,Democratic/Lean Democratic,,Yes,A little,Almost constantly,Several times a week,Strongly support,Tend to agree,More excited than concerned,,,,,,,,,,,,,,,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service categorizing email as spam and junk
2023-06-25 11:37:21,2023-06-25 11:41:02,Survey Preview,,100,221,True,2023-06-25 11:41:04,R_2VOA3baixOI9azO,,,,,41.85,-87.7165,preview,EN,,Graduated from a four-year college,Employed (full or part-time),Prefer not to say,Democratic/Lean Democratic,Muslim,Yes,A lot,Almost constantly,Almost constantly,Strongly support,Totally agree,More excited than concerned,5,7,1,2,3,6,4,,,,,,,Possible,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service allowing the user to schedule an email at a specific time
2023-06-25 14:23:46,2023-06-25 14:23:53,Survey Preview,,100,7,True,2023-06-25 14:23:54,R_9uxdOepQ94ODgQ1,,,,,43.0725,-89.4491,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-25 14:27:34,2023-06-25 14:28:25,Survey Preview,,100,51,True,2023-06-25 14:28:26,R_emV9TgxLgNReynD,,,,,43.0725,-89.4491,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-25 14:35:17,2023-06-25 14:46:18,Survey Preview,,100,661,True,2023-06-25 14:46:19,R_yBChtKJtzUugLlf,,,,,43.0725,-89.4491,preview,EN,,Graduated from a four-year college,Employed (full or part-time),"Less than $30,000",Democratic/Lean Democratic,Muslim,Yes,A lot,Almost constantly,Several times a day,Somewhat support,Tend to agree,Equally concerned and excited,,,,,,,,,,,,,,Possible,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service categorizing email as spam and junk
2023-06-27 14:25:17,2023-06-27 14:31:22,Survey Preview,,100,365,True,2023-06-27 14:31:25,R_1pPXj8fFW9hbDsT,,,,,43.0812,-89.3845,preview,EN,,Graduated from a four-year college,Not employed,Prefer not to say,Independents/Others,Muslim,No,A lot,Almost constantly,About once a day,Neither support or oppose,Neither agree or disagree,Equally concerned and excited,,,,,,,,,,,,,,Possible,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",Not sure
2023-06-27 16:06:43,2023-06-27 16:12:45,Survey Preview,,100,361,True,2023-06-27 16:12:46,R_1dEJebf6qqUnqMH,,,,,43.0725,-89.4491,preview,EN,,Graduated from a four-year college,Not employed,"$70,000 - $100,000",Independents/Others,Muslim,Yes,A lot,Almost constantly,Several times a week,Strongly support,Tend to agree,Equally concerned and excited,,,,,,,,,,,,,,Possible,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service categorizing email as spam and junk
2023-07-02 15:03:35,2023-07-02 15:06:58,IP Address,162.198.236.108,100,203,True,2023-07-02 15:06:59,R_1g7QFMEnBREtCvz,,,,,42.7239,-83.4232,anonymous,EN,64a18ed19fe33dcb7f86bd18,Graduated from a four-year college,Not employed,"More than $100,000",Democratic/Lean Democratic,Christianity,Yes,A little,Several times a day,About once a day,Somewhat support,Tend to agree,More excited than concerned,1,5,3,6,2,7,4,,,,,,,Possible,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service categorizing email as spam and junk
2023-07-02 15:14:27,2023-07-02 15:20:21,IP Address,174.26.10.164,100,354,True,2023-07-02 15:20:22,R_1DzMvc6tb5m0SGz,,,,,33.4683,-112.0549,anonymous,EN,636198b2cfdd80506b1c97a4,Less than a high school diploma,Not employed,"Less than $30,000",Republican/Lean Republican,Not religious,No,A little,Almost constantly,Several times a week,Somewhat oppose,Tend to disagree,More concerned than excited,,,,,,,,,,,,,,Not possible,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,Not sure,"A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",Not sure
2023-07-02 15:19:47,2023-07-02 15:22:17,IP Address,67.181.180.211,100,150,True,2023-07-02 15:22:18,R_agTs9RG3pqwNyFj,,,,,36.3287,-119.6474,anonymous,EN,6323709c1a757febe9fae00c,"High school degree or equivalent (e.g., GED)",Employed (full or part-time),"$30,000 - $70,000",Independents/Others,Christianity,No,A little,Almost constantly,Almost constantly,Somewhat support,Tend to agree,Equally concerned and excited,,,,,,,,,,,,,,Possible,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service allowing the user to schedule an email at a specific time
2023-07-02 15:20:44,2023-07-02 15:23:01,IP Address,65.29.80.185,100,137,True,2023-07-02 15:23:02,R_3OizcfGnqT1zfwY,,,,,39.7862,-84.1622,anonymous,EN,5eebe4e6e61002183aec9b70,Some college (including two-year college),Not employed,"Less than $30,000",Independents/Others,Not religious,Yes,A lot,Almost constantly,Less often,Somewhat support,Tend to agree,Equally concerned and excited,,,,,,,,,,,,,,Not sure,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service categorizing email as spam and junk
2023-07-02 15:20:31,2023-07-02 15:24:46,IP Address,24.112.55.163,100,254,True,2023-07-02 15:24:46,R_QmpbWY3BsAXhh4t,,,,,30.1713,-93.2244,anonymous,EN,5b2f9fe6532e3d00018e0486,Postgraduate,Employed (full or part-time),"$30,000 - $70,000",Democratic/Lean Democratic,Christianity,No,A little,Almost constantly,Several times a week,Somewhat oppose,Tend to disagree,More concerned than excited,,,,,,,,1,2,6,3,4,5,Not possible,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service categorizing email as spam and junk
2023-07-02 15:31:04,2023-07-02 15:33:31,IP Address,141.126.148.84,100,147,True,2023-07-02 15:33:32,R_tGa7fberHzGNENb,,,,,43.7746,-88.4376,anonymous,EN,5dc592c6aa431440aa755d5b,Some college (including two-year college),Not employed,"$30,000 - $70,000",Independents/Others,Christianity,No,A lot,Almost constantly,Less often,Somewhat support,Totally agree,Equally concerned and excited,,,,,,,,,,,,,,Not sure,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service categorizing email as spam and junk
2023-07-02 15:28:56,2023-07-02 15:34:44,IP Address,172.58.149.210,100,347,True,2023-07-02 15:34:44,R_RR1hGxWKQlynXUZ,,,,,36.0711,-86.7196,anonymous,EN,63ed54482e9ba99966362024,Graduated from a four-year college,Employed (full or part-time),"$30,000 - $70,000",Independents/Others,Not religious,No,A lot,Several times a day,Several times a week,Neither support or oppose,Tend to agree,Equally concerned and excited,,,,,,,,,,,,,,Possible,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service marking an email as read after the user opens it
2023-07-02 15:31:18,2023-07-02 15:35:12,IP Address,174.196.130.86,100,233,True,2023-07-02 15:35:12,R_1DC05Mf3UdIddIr,,,,,38.8263,-77.2111,anonymous,EN,63d44965adfa596dab33adc3,Graduated from a four-year college,Employed (full or part-time),"$70,000 - $100,000",Republican/Lean Republican,Christianity,No,A little,Several times a day,Less often,Somewhat support,Neither agree or disagree,More excited than concerned,2,4,3,6,5,7,1,,,,,,,Not sure,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,Not sure,"A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service categorizing email as spam and junk
2023-07-02 15:22:03,2023-07-02 15:35:25,IP Address,104.229.81.227,100,801,True,2023-07-02 15:35:25,R_1P5GVAE2iVh8KdO,,,,,43.4394,-76.4613,anonymous,EN,5f4c10bcd1c491820b2763f2,Graduated from a four-year college,Employed (full or part-time),"$30,000 - $70,000",Democratic/Lean Democratic,Prefer not to say,No,A lot,Almost constantly,No answer,Somewhat oppose,Tend to disagree,More concerned than excited,,,,,,,,1,4,5,3,6,2,Not possible,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service categorizing email as spam and junk
2023-07-02 15:29:05,2023-07-02 15:37:05,IP Address,70.93.39.198,100,479,True,2023-07-02 15:37:06,R_2fE7XC7qnWgqkP7,,,,,32.4867,-114.7827,anonymous,EN,5e8b3fcb0312bf7fbff660b3,"High school degree or equivalent (e.g., GED)",Not employed,Prefer not to say,Republican/Lean Republican,Christianity,Yes,A lot,Almost constantly,Several times a week,Somewhat support,Tend to agree,More excited than concerned,3,7,4,2,1,5,6,,,,,,,Possible,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service categorizing email as spam and junk
2023-07-02 15:33:58,2023-07-02 15:37:14,IP Address,73.171.63.183,100,196,True,2023-07-02 15:37:15,R_Y3ygAMbN0scClUd,,,,,38.0321,-78.489,anonymous,EN,6134e3d48d0eaa5c8fe8c25e,Graduated from a four-year college,Not employed,"$70,000 - $100,000",Democratic/Lean Democratic,Not religious,No,A lot,Almost constantly,Less often,Neither support or oppose,Tend to disagree,More concerned than excited,,,,,,,,4,5,3,2,6,1,Not possible,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service categorizing email as spam and junk
2023-07-02 15:35:06,2023-07-02 15:39:26,IP Address,99.51.72.39,100,260,True,2023-07-02 15:39:27,R_2t5ugeHxq5xdzyc,,,,,37.5337,-122.0289,anonymous,EN,5e5ca080bb37ff47b09dd4cc,Graduated from a four-year college,Employed (full or part-time),"More than $100,000",Independents/Others,Not religious,No,A lot,Almost constantly,Several times a day,Strongly support,Tend to agree,Equally concerned and excited,,,,,,,,,,,,,,Not sure,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service categorizing email as spam and junk
2023-07-02 15:35:57,2023-07-02 15:40:54,IP Address,73.174.41.243,100,297,True,2023-07-02 15:40:55,R_2httUz5vG51gKEF,,,,,40.9958,-80.3264,anonymous,EN,5b93ef45191b3c0001652677,Some college (including two-year college),Not employed,"$70,000 - $100,000",Democratic/Lean Democratic,Prefer not to say,No,A little,Several times a day,Less often,Neither support or oppose,Tend to disagree,Equally concerned and excited,,,,,,,,,,,,,,Not sure,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service categorizing email as spam and junk
2023-07-02 15:38:32,2023-07-02 15:41:08,IP Address,174.171.45.67,100,156,True,2023-07-02 15:41:09,R_1HivcHttvGVxDmH,,,,,29.5183,-95.0977,anonymous,EN,607d9b4a31b7f0e217217722,Graduated from a four-year college,Employed (full or part-time),"More than $100,000",Democratic/Lean Democratic,Not religious,No,A little,Almost constantly,Less often,Somewhat support,Tend to agree,More concerned than excited,,,,,,,,3,2,5,1,6,4,Not possible,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service categorizing email as spam and junk
2023-07-02 15:38:40,2023-07-02 15:41:45,IP Address,108.207.58.153,100,184,True,2023-07-02 15:41:46,R_ZC3Xm1tEiKuG1Wx,,,,,42.7606,-84.5563,anonymous,EN,629ff307031e3b1f06456e78,Postgraduate,Employed (full or part-time),"$30,000 - $70,000",Democratic/Lean Democratic,Christianity,Yes,A lot,Several times a day,Several times a week,Somewhat oppose,Tend to disagree,More concerned than excited,,,,,,,,1,5,6,2,3,4,Not sure,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service categorizing email as spam and junk
2023-07-02 15:37:38,2023-07-02 15:41:50,IP Address,24.250.209.251,100,251,True,2023-07-02 15:41:50,R_3qlzu9ZYLKGIvw5,,,,,29.1657,-82.1273,anonymous,EN,63c18301a31679d3e3e39101,Some college (including two-year college),Employed (full or part-time),"$30,000 - $70,000",Democratic/Lean Democratic,Christianity,No,A lot,Almost constantly,Almost constantly,Somewhat support,Tend to disagree,More concerned than excited,,,,,,,,4,5,6,2,3,1,Not possible,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service allowing the user to schedule an email at a specific time
2023-07-02 15:37:57,2023-07-02 15:42:20,IP Address,67.8.119.121,100,262,True,2023-07-02 15:42:20,R_dhCZLL2HHvPvruV,,,,,28.7935,-81.2868,anonymous,EN,5cd50ea807cf630017c91408,Some college (including two-year college),Not employed,"$30,000 - $70,000",Independents/Others,Not religious,No,A lot,Almost constantly,Less often,Somewhat oppose,Tend to disagree,More concerned than excited,,,,,,,,4,6,5,1,2,3,Not possible,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service categorizing email as spam and junk
2023-07-02 15:38:32,2023-07-02 15:42:58,IP Address,108.21.227.180,100,266,True,2023-07-02 15:42:59,R_d6e7jJVZrXLBdUl,,,,,40.6673,-73.4593,anonymous,EN,61017e76a0494146f7fdff65,Postgraduate,Employed (full or part-time),"$30,000 - $70,000",Democratic/Lean Democratic,Not religious,No,A little,Almost constantly,Less often,Somewhat oppose,Tend to disagree,More concerned than excited,,,,,,,,1,6,5,3,4,2,Not possible,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service categorizing email as spam and junk
2023-07-02 15:41:01,2023-07-02 15:43:11,IP Address,68.194.82.131,100,130,True,2023-07-02 15:43:12,R_8ijEZ45saEK5TTr,,,,,40.6739,-73.9358,anonymous,EN,632890876b6124c7a15d06f6,Postgraduate,Employed (full or part-time),"More than $100,000",Democratic/Lean Democratic,Hindu,No,A little,Several times a day,Less often,Somewhat support,Tend to agree,Equally concerned and excited,,,,,,,,,,,,,,Not possible,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service categorizing email as spam and junk
2023-07-02 15:41:40,2023-07-02 15:45:16,IP Address,166.199.98.43,100,215,True,2023-07-02 15:45:17,R_1pS5yWfdWWnrTn6,,,,,40.7123,-74.0068,anonymous,EN,6110c3b51c8b97bc69979282,Some college (including two-year college),Employed (full or part-time),"$30,000 - $70,000",Democratic/Lean Democratic,Christianity,No,A little,Several times a day,Less often,Somewhat support,Tend to agree,More excited than concerned,1,7,4,2,3,6,5,,,,,,,Not sure,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Storage of account information such as shipping addresses,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service categorizing email as spam and junk
2023-07-02 15:42:38,2023-07-02 15:45:59,IP Address,24.128.78.124,100,201,True,2023-07-02 15:46:00,R_29sRXDakNUReDnj,,,,,38.8503,-104.8567,anonymous,EN,5e11882114ae638303c715d9,Postgraduate,Employed (full or part-time),"More than $100,000",Republican/Lean Republican,Christianity,Yes,A lot,Almost constantly,Less often,Neither support or oppose,Tend to disagree,More concerned than excited,,,,,,,,4,3,6,2,5,1,Possible,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service categorizing email as spam and junk
2023-07-02 15:45:42,2023-07-02 15:47:59,IP Address,172.222.144.137,100,137,True,2023-07-02 15:48:00,R_1Qa55CeF535njsi,,,,,34.066,-117.8928,anonymous,EN,5f888877136ad50208b48b47,Some college (including two-year college),Employed (full or part-time),"$30,000 - $70,000",Democratic/Lean Democratic,Buddhism,Yes,A little,About once a day or less often,Several times a week,Somewhat support,Tend to agree,More concerned than excited,,,,,,,,5,4,2,1,6,3,Possible,An online survey for customer feedback,Shuffle play from a chosen playlist,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)",A wake up alarm,The email service marking an email as read after the user opens it
2023-07-02 15:47:15,2023-07-02 15:49:44,IP Address,172.56.169.215,100,148,True,2023-07-02 15:49:45,R_2QF0UAouqzz2cEM,,,,,38.581,-121.4939,anonymous,EN,631e023b74860145f8fd4840,Postgraduate,Employed (full or part-time),"More than $100,000",Democratic/Lean Democratic,Not religious,No,A little,Almost constantly,Less often,Somewhat support,Tend to agree,Equally concerned and excited,,,,,,,,,,,,,,Not sure,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service categorizing email as spam and junk
2023-07-02 15:45:46,2023-07-02 15:52:15,IP Address,76.188.87.226,100,389,True,2023-07-02 15:52:15,R_2DTw9O4JU9BAnG6,,,,,42.0753,-80.0671,anonymous,EN,5c4d5328889752000156a11d,Graduated from a four-year college,Employed (full or part-time),"$70,000 - $100,000",Democratic/Lean Democratic,Not religious,No,A lot,Almost constantly,No answer,Somewhat support,Tend to disagree,More concerned than excited,,,,,,,,5,4,6,3,1,2,Not possible,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service categorizing email as spam and junk
2023-07-02 15:46:43,2023-07-02 15:53:10,IP Address,174.198.7.174,100,386,True,2023-07-02 15:53:11,R_22EA3GQK56y5Yuf,,,,,39.952,-75.1814,anonymous,EN,647e55e4edabdd63e800d717,Postgraduate,Employed (full or part-time),"$30,000 - $70,000",Democratic/Lean Democratic,Not religious,No,A lot,Almost constantly,About once a day,Strongly support,Totally agree,More excited than concerned,3,7,2,5,6,1,4,,,,,,,Possible,A chatbot that immediately answers customer questions,A playlist recommendation from your music preferences,Product recommendation from based on past purchases,"Wearable fitness trackers that analyze exercise and sleep (e.g., Apple Health/Fitbit)","A virtual assistant (e.g, Amazon's Alexa/Apple's Siri)",The email service categorizing email as spam and junk
